DB 0 MOTIF	MA0051.1	IRF2
 -91.0	0	0
 -90.0	0	0
 -89.0	0	0
 -88.0	0	0
 -87.0	0	0
 -86.0	0	0
 -85.0	0	0
 -84.0	0	0
 -83.0	0	0
 -82.0	0	0
 -81.0	0	0
 -80.0	0	0
 -79.0	0	0
 -78.0	0	0
 -77.0	0	0
 -76.0	0	1
 -75.0	0	0
 -74.0	0	0
 -73.0	0	0
 -72.0	0	0
 -71.0	0	0
 -70.0	0	0
 -69.0	0	0
 -68.0	0	0
 -67.0	0	0
 -66.0	0	0
 -65.0	0	0
 -64.0	0	0
 -63.0	0	0
 -62.0	0	0
 -61.0	0	0
 -60.0	0	0
 -59.0	0	0
 -58.0	0	0
 -57.0	0	0
 -56.0	0	0
 -55.0	0	0
 -54.0	0	0
 -53.0	0	0
 -52.0	0	0
 -51.0	0	0
 -50.0	0	0
 -49.0	0	0
 -48.0	0	0
 -47.0	0	0
 -46.0	0	0
 -45.0	0	0
 -44.0	0	0
 -43.0	0	0
 -42.0	0	0
 -41.0	0	0
 -40.0	0	0
 -39.0	0	0
 -38.0	0	0
 -37.0	0	0
 -36.0	0	0
 -35.0	0	0
 -34.0	0	0
 -33.0	0	0
 -32.0	0	0
 -31.0	0	0
 -30.0	0	1
 -29.0	0	0
 -28.0	0	0
 -27.0	0	0
 -26.0	0	0
 -25.0	0	0
 -24.0	0	0
 -23.0	0	0
 -22.0	0	0
 -21.0	0	0
 -20.0	0	0
 -19.0	0	0
 -18.0	0	1
 -17.0	0	0
 -16.0	0	0
 -15.0	0	0
 -14.0	0	0
 -13.0	0	1
 -12.0	0	1
 -11.0	0	0
 -10.0	0	0
  -9.0	0	0
  -8.0	0	0
  -7.0	0	1
  -6.0	0	0
  -5.0	0	0
  -4.0	0	0
  -3.0	0	0
  -2.0	0	0
  -1.0	0	0
   0.0	0	0
   1.0	0	0
   2.0	0	0
   3.0	0	0
   4.0	0	0
   5.0	0	0
   6.0	0	0
   7.0	0	0
   8.0	0	0
   9.0	0	0
  10.0	0	0
  11.0	0	0
  12.0	0	0
  13.0	0	0
  14.0	0	0
  15.0	0	0
  16.0	0	0
  17.0	0	0
  18.0	0	0
  19.0	0	0
  20.0	0	0
  21.0	0	0
  22.0	0	0
  23.0	0	0
  24.0	0	0
  25.0	0	0
  26.0	0	0
  27.0	0	2
  28.0	0	0
  29.0	0	0
  30.0	0	0
  31.0	0	0
  32.0	0	0
  33.0	0	0
  34.0	0	1
  35.0	0	0
  36.0	0	0
  37.0	1	0
  38.0	0	0
  39.0	0	1
  40.0	1	0
  41.0	0	0
  42.0	0	0
  43.0	0	0
  44.0	0	0
  45.0	0	0
  46.0	0	0
  47.0	0	0
  48.0	0	0
  49.0	0	0
  50.0	1	0
  51.0	0	0
  52.0	0	2
  53.0	1	0
  54.0	0	1
  55.0	0	0
  56.0	0	1
  57.0	0	0
  58.0	1	0
  59.0	1	1
  60.0	3	0
  61.0	0	0
  62.0	0	0
  63.0	0	0
  64.0	0	0
  65.0	0	0
  66.0	0	0
  67.0	0	0
  68.0	0	0
  69.0	0	0
  70.0	0	0
  71.0	0	0
  72.0	0	0
  73.0	0	0
  74.0	0	0
  75.0	0	0
  76.0	0	0
  77.0	0	0
  78.0	0	0
  79.0	0	0
  80.0	0	0
  81.0	0	0
  82.0	0	0
  83.0	0	1
  84.0	0	0
  85.0	0	0
  86.0	0	0
  87.0	0	0
  88.0	0	2
  89.0	0	0
  90.0	0	0
  91.0	0	0
DB 0 MOTIF	MA0063.1	Nkx2-5
 -96.5	4	4
 -95.5	2	2
 -94.5	5	7
 -93.5	4	6
 -92.5	2	3
 -91.5	3	2
 -90.5	4	0
 -89.5	2	1
 -88.5	2	4
 -87.5	2	1
 -86.5	3	0
 -85.5	0	1
 -84.5	0	1
 -83.5	2	1
 -82.5	3	2
 -81.5	4	3
 -80.5	2	2
 -79.5	1	5
 -78.5	1	2
 -77.5	2	3
 -76.5	1	3
 -75.5	0	3
 -74.5	1	0
 -73.5	3	0
 -72.5	5	2
 -71.5	0	2
 -70.5	6	1
 -69.5	2	2
 -68.5	0	2
 -67.5	1	0
 -66.5	1	3
 -65.5	0	1
 -64.5	2	2
 -63.5	0	1
 -62.5	1	4
 -61.5	0	0
 -60.5	2	0
 -59.5	3	2
 -58.5	2	1
 -57.5	1	0
 -56.5	3	0
 -55.5	2	2
 -54.5	0	2
 -53.5	5	2
 -52.5	0	1
 -51.5	3	0
 -50.5	1	3
 -49.5	2	3
 -48.5	4	0
 -47.5	2	6
 -46.5	2	2
 -45.5	2	0
 -44.5	5	4
 -43.5	2	0
 -42.5	2	2
 -41.5	2	5
 -40.5	2	4
 -39.5	2	6
 -38.5	0	3
 -37.5	0	2
 -36.5	0	1
 -35.5	0	1
 -34.5	0	2
 -33.5	3	1
 -32.5	2	3
 -31.5	0	5
 -30.5	4	1
 -29.5	2	3
 -28.5	0	2
 -27.5	2	4
 -26.5	8	2
 -25.5	4	5
 -24.5	7	9
 -23.5	6	6
 -22.5	7	5
 -21.5	5	5
 -20.5	7	1
 -19.5	2	2
 -18.5	2	3.5
 -17.5	3	4
 -16.5	1	0
 -15.5	1	7
 -14.5	2	1
 -13.5	1	0
 -12.5	3	3
 -11.5	3	2
 -10.5	5	3
  -9.5	0	0
  -8.5	1	1
  -7.5	1	1
  -6.5	3	4
  -5.5	1	0
  -4.5	1	3
  -3.5	0	1
  -2.5	1	2
  -1.5	3	2.5
  -0.5	3	2
   0.5	0	1
   1.5	3	1
   2.5	2	2
   3.5	0	0
   4.5	4	5
   5.5	3	2
   6.5	1	2
   7.5	2	2
   8.5	1	2
   9.5	1	1
  10.5	2	0
  11.5	0	0
  12.5	6	1
  13.5	2	7
  14.5	2	0
  15.5	1	0
  16.5	3	2
  17.5	0	0
  18.5	1	2
  19.5	0	1
  20.5	0	4
  21.5	2	1
  22.5	2	2
  23.5	4	0
  24.5	5	1
  25.5	0	3
  26.5	6	2
  27.5	1	4
  28.5	3	0
  29.5	1	1
  30.5	0	2
  31.5	1	0
  32.5	2	1
  33.5	0	2
  34.5	2	1
  35.5	3	2
  36.5	4	0
  37.5	4	4
  38.5	2	1
  39.5	3	2
  40.5	3	3
  41.5	3	2
  42.5	0	2
  43.5	1	0
  44.5	1	1
  45.5	3	4
  46.5	0	1
  47.5	2	0
  48.5	1	0.5
  49.5	3	1
  50.5	2	3
  51.5	1	2
  52.5	0	0
  53.5	0	2
  54.5	2	0
  55.5	1	2
  56.5	3	2
  57.5	5	2
  58.5	3	1.5
  59.5	5	3
  60.5	1	1
  61.5	3	0
  62.5	1	4
  63.5	2	3
  64.5	6	5
  65.5	1	1
  66.5	1	0
  67.5	4	2
  68.5	2	2
  69.5	1	0
  70.5	0	5
  71.5	1	3
  72.5	2	0
  73.5	2	1
  74.5	2	4
  75.5	4	4
  76.5	3	1
  77.5	1	1
  78.5	5	2
  79.5	2	4
  80.5	2	1
  81.5	0	2
  82.5	3	2
  83.5	1	2
  84.5	3	5
  85.5	4	1
  86.5	3	2
  87.5	5	2
  88.5	9	7
  89.5	2	4
  90.5	2	5
  91.5	4	0
  92.5	5	3
  93.5	2	3
  94.5	1	3
  95.5	1	4
  96.5	1	2
DB 0 MOTIF	MA0067.1	Pax2
 -96.0	10.2	6
 -95.0	4	0
 -94.0	5	2
 -93.0	2	7
 -92.0	8	6
 -91.0	4	2
 -90.0	5	4
 -89.0	9	6
 -88.0	3.5	11
 -87.0	4	2
 -86.0	4	4.5
 -85.0	7	4
 -84.0	3	8
 -83.0	1	1
 -82.0	5	3
 -81.0	3	7
 -80.0	4	2.5
 -79.0	3	2
 -78.0	0	3
 -77.0	6	2
 -76.0	5	7
 -75.0	4.2	7
 -74.0	1	6
 -73.0	1	8
 -72.0	1	5
 -71.0	6	1
 -70.0	3	3
 -69.0	7	9
 -68.0	4	7
 -67.0	5	8
 -66.0	4	7.5
 -65.0	4.5	3
 -64.0	4	3
 -63.0	11	10
 -62.0	4	7
 -61.0	3	3
 -60.0	7	3
 -59.0	3	8
 -58.0	4	5
 -57.0	5.2	4
 -56.0	4	7
 -55.0	2	6
 -54.0	5	7
 -53.0	8	4
 -52.0	2	6
 -51.0	4	2
 -50.0	8	2
 -49.0	5	6
 -48.0	7.5	4
 -47.0	4	3
 -46.0	7	4
 -45.0	4	1
 -44.0	5	7
 -43.0	1	6
 -42.0	3	6
 -41.0	2	4
 -40.0	3	5
 -39.0	3	2
 -38.0	5	4
 -37.0	3	4
 -36.0	2	1
 -35.0	1	4.5
 -34.0	2	4
 -33.0	4	2
 -32.0	3	2
 -31.0	2	2
 -30.0	1	4
 -29.0	6	5
 -28.0	3	3
 -27.0	3	3
 -26.0	4	4
 -25.0	10	0
 -24.0	4	2
 -23.0	4	6
 -22.0	4	0
 -21.0	3	3
 -20.0	5	7
 -19.0	5	2
 -18.0	4	5
 -17.0	1	3
 -16.0	3.2	6
 -15.0	7	5
 -14.0	4	5
 -13.0	1	4
 -12.0	1	2
 -11.0	2	3
 -10.0	3	1
  -9.0	4	4
  -8.0	0	4
  -7.0	2	3
  -6.0	4	3
  -5.0	3	5
  -4.0	6	3
  -3.0	1	5
  -2.0	1	1
  -1.0	1	1.5
   0.0	0	2
   1.0	27	21
   2.0	0	2
   3.0	2	1
   4.0	5	9
   5.0	6.2	6
   6.0	0	1
   7.0	6	5
   8.0	3	4
   9.0	3	1
  10.0	1	1
  11.0	2	0
  12.0	2	1
  13.0	2	3
  14.0	2	3
  15.0	1	1
  16.0	6	2
  17.0	1	2
  18.0	2	3
  19.0	3	1
  20.0	2	3
  21.0	1	0
  22.0	4	2
  23.0	1	4
  24.0	2	1
  25.0	2	3
  26.0	4	1
  27.0	1	1
  28.0	2	5
  29.0	5	1
  30.0	6	2
  31.0	0	2
  32.0	2	5
